peak_name,peak_link,elevation_ft,elevation_m,prominence_ft,prominence_m,isolation_mi,isolation_km,date_climbed,trip_report_link,location,list,ULTRA,P3K,P2K,P1K,STHP,STPP,STIP,STEP,LCL,NE67,ADK46,SE40,NYFT,EAP2K,VT35,CT35,BEL12,OSS10,NHFT,NEK20,LG12,SARN6,FUL3,TUP3
Spruce,https://www.peakbagger.com/peak.aspx?pid=6726,3038,926,877,267,2.1,3.3,2024-04-25,../../../trip_reports/northeast_131_reports/2024_04_21-33_lower_new_hampshire.html#spruce,VT,NE131a,,,,,,,,,,,,,,,,,,,,y,,,,
Prospect,https://www.peakbagger.com/peak.aspx?pid=41389,2064,629,1115,340,2.2,3.6,2024-04-24,../../../trip_reports/northeast_131_reports/2024_04_21-33_lower_new_hampshire.html#prospect,NH,NE131,,,,y,,,,,,,,,,,,,,,,,,,,
Cardigan,https://www.peakbagger.com/peak.aspx?pid=6736,3149,960,1914,583,13.4,21.6,2024-04-22,../../../trip_reports/northeast_131_reports/2024_04_21-33_lower_new_hampshire.html#cardigan,NH,NE131,,,,y,,,,,,,,,,,,,,,y,,,,,
East Ragged,https://www.peakbagger.com/peak.aspx?pid=42244,2287,697,1468,447,5.5,8.9,2024-04-21,../../../trip_reports/northeast_131_reports/2024_04_21-33_lower_new_hampshire.html#east_ragged,NH,NE131,,,,y,,,,,,,,,,,,,,,,,,,,
Black,https://www.peakbagger.com/peak.aspx?pid=6099,2640,805,2280,695,21.6,34.8,2024-04-18,../../../trip_reports/northeast_131_reports/2024_04_13-21_eastern_adirondacks.html#black,NY,NE131,,,y,y,,,,,,,,,y,y,,,,,,,y,,,
Snowy,https://www.peakbagger.com/peak.aspx?pid=6134,3898,1188,2224,678,28.1,45.3,2024-04-17,../../../trip_reports/northeast_131_reports/2024_04_13-21_eastern_adirondacks.html#snowy,NY,NE131,,,y,y,,,,,,,,,y,y,,,,,,,,,,
Vanderwhacker,https://www.peakbagger.com/peak.aspx?pid=23535,3409,1039,1677,511,9.8,15.7,2024-04-15,../../../trip_reports/northeast_131_reports/2024_04_13-21_eastern_adirondacks.html#vanderwhacker,NY,NE131,,,,y,,,,,,,,,y,,,,,,,,,,,
Thomas,https://www.peakbagger.com/peak.aspx?pid=31969,2031,619,911,278,6.8,11,2024-04-14,../../../trip_reports/northeast_131_reports/2024_04_13-21_eastern_adirondacks.html#thomas,NY,NE131a,,,,,,,,,,,,,,,,,,,,,y,,,
Cat,https://www.peakbagger.com/peak.aspx?pid=32414,1956,596,416,127,1.7,2.8,2024-04-14,../../../trip_reports/northeast_131_reports/2024_04_13-21_eastern_adirondacks.html#thomas,NY,NE131a,,,,,,,,,,,,,,,,,,,,,y,,,
Swede,https://www.peakbagger.com/peak.aspx?pid=59903,1893,577,193,59,0.6,1,2024-04-14,../../../trip_reports/northeast_131_reports/2024_04_13-21_eastern_adirondacks.html#swede,NY,NE131a,,,,,,,,,,,,,y,,,,,,,,,,,
Hurricane,https://www.peakbagger.com/peak.aspx?pid=6102,3697,1127,2002,610,3.5,5.7,2024-04-13,../../../trip_reports/northeast_131_reports/2024_04_13-21_eastern_adirondacks.html#hurricane,NY,NE131,,,y,y,,,,,,,,,y,y,,,,,,,,,,
Buck,https://www.peakbagger.com/peak.aspx?pid=70790,2395,730,601,183,4.3,6.9,2024-04-12,../../../trip_reports/northeast_131_reports/2024_04_06-12_western_adirondacks.html#buck,NY,NE131a,,,,,,,,,,,,,y,,,,,,,,,,,
Woodhull,https://www.peakbagger.com/peak.aspx?pid=23536,2365,721,466,142,3.1,5,2024-04-11,../../../trip_reports/northeast_131_reports/2024_04_06-12_western_adirondacks.html#woodhull,NY,NE131a,,,,,,,,,,,,,y,,,,,,,,,,,
Bald,https://www.peakbagger.com/peak.aspx?pid=23537,2349,716,213,65,1.1,1.7,2024-04-11,../../../trip_reports/northeast_131_reports/2024_04_06-12_western_adirondacks.html#bald,NY,NE131a,,,,,,,,,,,,,y,,,,,,,,,,y,
Black Bear,https://www.peakbagger.com/peak.aspx?pid=25947,2441,744,640,195,2,3.2,2024-04-10,../../../trip_reports/northeast_131_reports/2024_04_06-12_western_adirondacks.html#black_bear,NY,NE131a,,,,,,,,,,,,,,,,,,,,,,,y,
